Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Platinum 2 Kuala Lumpur by LUMA,363,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,AXON RESIDENCES BUKIT BINTANG by Janice's Homestay,156,9.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Better Residence Suite at Times Square KL,0,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Penthouse KLCC,238,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Scarletz Suites KLCC by De Harlequins Guesthouse,90,8.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Platinum KLCC By Sky Pool,0,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Nanas Dorsett 6pax Bukit Bintang Pavilion KL 99,0,9.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Infini Suites@ The Robertson Bukit Bintang,163,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Neu Suites @ 3rdNvenue by Perfect Host,83,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Centrestage Petaling Jaya by Perfect Host,87,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Cozy Tamarind Suites,0,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Soho Suites KLCC by the Betty Roux,96,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Luxe KLCC View Sky Pool,113,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Studio 109 Regalia Suite KL,83,7.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Elements service suite@ Times Square,0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Star Luxury Suites KLCC,0,8.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,8 Kia Peng Suites KLCC by Luna,0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Colony By Infinitum By Awesomestay,108,6.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Casa Mutiara Apartments by Moonlight,87,8.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Sanitized, Queensville near Midvalley #Netflix",109,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Hotel Primera Suite,0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Plus KLCC by Cobnb,136,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Aurora Place Suites Kuala Lumpur Bukit Jalil by Rasa Sayang,0,7.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,vortex suites klcc by homestay,0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Continew Residence Cozy Home by Guestonic,106,8.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,VELOCITY KL SUITES BY PSM,153,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Zeta Desky,0,6.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Platinum Suites at KLCC by Veedu Hauz,238,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,One Bukit Ceylon Lumi 5 Pavillion Bukit Bintang  ,109,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,KLCC  Premium Queen bed  One Bukit Ceylon ,101,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Greenfield Residence,  Sunway by The Comfort Zone",189,9.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,KL Suite at Times Square,241,7.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Comfy Homes Unit PacificTowers Wifi Parking Netflix Opp Jaya 1,86,7.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Axon Bukit Bintang Pavillion KL KLCC by GoMain,180,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,D'Majestic by Lush Living,87,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Crown Suites Tropicana The Residence KLCC Kuala Lumpur City Center,0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Nanas Dorsett 4pax Bukit Bintang Pavilion KL 610,0,9.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,KL Gateway Residence,0,8.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Vortex Suites KLCC by BlackNest,229,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Minsu (Ekocheras),0,7.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Regalia Residence The Sky Pool Suite,129,7.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Pavilion Embassy Suites KLCC,274,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Horizon Suite Homestay, KLIA by S&T Homez",121,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Reizz Homestay By Classy,0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"De Centrum By Jom La Homestay, Kajang Bangi",96,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Axon Premier Suites Kuala Lumpur,281,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Rasa Sayang Homestay at Bukit Jalil Pavilion,0,7.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Manatidur@THE HUB SS2,88,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Axon Serviced Suites Kuala Lumpur,0,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Pacific Home Petaling Jaya @ The Curve, 1 Utama, Universiti Malaya",0,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Regalia Residence And Suites By Awesomestay,108,6.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Crystal Suites at Axon Residence near Pavilion,0,8.7
