Pax,Check In,Check Out,Place,Web,Ratings,Name Hotel,Price(Rm)
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,"Crowne Plaza Kuala Lumpur City Centre, an IHG Hotel  ",642.765
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Sama Sama Hotel KLIA  ,678.26
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Ascott Kuala Lumpur  ,685.3
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Ascott Star KLCC  ,751.31
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Grand Hyatt Kuala Lumpur  ,794.4
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Pan Pacific Serviced Suites Kuala Lumpur  ,841.865
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,"Mandarin Oriental, Kuala Lumpur  ",1051.47
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Sunway Resort Hotel  ,1080.0
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Banyan Tree Kuala Lumpur  ,1328.845
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Villa Samadhi  ,1352.87
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,New World Petaling Jaya Hotel   ,472.14
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,"Hotel Maison Boutique, Kuala Lumpur  ",75.695
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,MOV Hotel  ,192.53
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,KIP Hotel  ,202.42
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Dorsett Putrajaya  ,210.055
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,6,Park Inn by Radisson Putrajaya  ,211.735
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Stay with Bintang  ,214.645
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Acappella Suite Hotel  ,217.17
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,"Oasia Suites Kuala Lumpur, Malaysia by Far East Hospitality  ",228.12
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Qliq Damansara  ,228.35
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Anggun Boutique Hotel  ,230.745
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Mercure Kuala Lumpur Glenmarie  ,234.71
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Mercure Selangor Selayang  ,241.035
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Signature Hotel & Serviced Suites Kuala Lumpur  ,250.025
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Colmar Tropicale French Theme Resort  ,254.375
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Hotel ibis Kuala Lumpur City Centre  ,255.54
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Vivatel Kuala Lumpur  ,256.135
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Concorde Hotel Shah Alam  ,257.08
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Fahrenheit Suites Kuala Lumpur  ,260.085
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Nexus Regency Suites & Hotel  ,265.66
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Eastin Hotel Petaling Jaya  ,266.625
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Crystal Crown Hotel Petaling Jaya  ,273.655
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Furama Bukit Bintang  ,277.455
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Mercure Living Putrajaya  ,280.79
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Tenera Hotel  ,283.28
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Royale Chulan Damansara  ,283.57
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Hotel Royal Kuala Lumpur  ,284.88
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Everly Putrajaya  ,287.905
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Metro 360 Hotel Kuala Lumpur  ,308.88
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Micasa All Suites Hotel  ,317.19
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,V E Hotel & Residence  ,326.365
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Empire Hotel Subang  ,330.3
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Chow Kit - an Ormond Hotel  ,339.63
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Boulevard Hotel Kuala Lumpur  ,341.715
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Cormar Suites  ,341.95
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Royale Bintang The Curve  ,342.775
