Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Nanas EST 2+2pax Bangsar LRT KL Sentral 318,178,9.6
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,DUPLEX STUDIO LOFT EMPIRE CITY DAMANSRA PERDANA,90,8.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,NEW Sunway Greenfield Home 5mins to Sunway Pyramid,248,9.7
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Eaton Residence KLCC @ infinity Pool View,0,8.8
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,"Hollywood Loft 6-7pax,5mins to Kidzania, IKEA, 1U",124,8.5
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,"Icon2 Condo in IOI City Mall Putrajaya, Pool View",198,9.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO-Connected train 2 Bedrooms - Above Mall(25),218,9.5
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO Connected train 1 Bedroom (ABOVE MALL) 7,143,9.6
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PALMYRA RESIDENCE (WHOLE CONDO),167,ws9
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Luxury Scarletz Suite KLCC,276,8.6
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO]Connected train 2 Bedroom (ABOVE MALL)8,227,9.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Modern Concept Luxury Loft - linked to Bangsar LRT,105,9.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Robertson Bukit Bintang R9 Jalan Alor 7 Pax 2 room,246,7.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Amerin Mall & Suites,0,8.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,KLCC Skysuites w RARE Private Balcony and Terrace,257,9.5
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,City Home Suites Kuala Lumpur City Centre ,194,8.7
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Connected train... 4 Bedroom (ABOVE MALL)20,199,8.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO Connected train 2 Bedroom (ABOVE MALL)15,223,8.9
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,"Pirate Tavern 6-7 Pax, 5mins to 1U, Kidzania, IKEA",122,9.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO Connected train 1 Bedroom (ABOVE MALL) 3a,119,8.7
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PJ13 100MbpsSweetHut @ PJ Centrestage,75,8.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,"Corner Privacy Loft Suite @KL Sentral, Bangsar LRT",103,8.5
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,PROMO Connected train 1 Bedroom (ABOVE MALL) 5,131,9.1
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Nanas Dorsett 6pax Bukit Bintang Pavilion KL 99,0,9.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Connected train 3 Bedrooms(Above Mall)13a,223,9.2
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Lake-view House with Natural Vibes ,449,8.6
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,Harith's Little Homestay @ Desa Putra 300mbps Wifi,163,9.6
"1 adult,1 child1 room",2024-09-29,2024-10-01,Kuala Lumpur,Agoda,KLIA Horizon Suites 1 Smart TV Open Parking,79,7.9
