Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,【Astoria Ampang】2BR Signature Style Mountain View,187,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,RIZQI HOMESTAY PUTRAJAYA,178,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW! Minimalist Design 6PAX 3BR|Above Mall100 Mbps,149,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,C&Y Horizon Suites Homestay KLIA Sepang (Studio),0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Suites KL Infinity Pool _ by MygeHomes,151,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Cosy studio at Setiawangsa, KL",133,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Near Lotus Ekocheras Designer Suite by MOKA,215,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SPICS LAKE COTTAGE RESORT,513,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,kajang luxury homestay near dewan hospital n mrt,262,3.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Host&Guest Deluxe Suite Old Klang Road KL,238,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Gratifying Studio@Colony@Infinitum,92,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,[PROMO]Connected train 1 Bedroom (ABOVE MALL)6,189,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Datum Jelatek Sky Resident KLCC by Deen,271,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Perfect Infinity Sky Pool, ViiA KL Eco City #1BR",0,6.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cosmo 7 Guest Scott Garden / Old Klang Road / KL,108,9.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,BLOSSOM SERVICE Suite,532,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Puchong Jaya 8-10 Pax IOI Mall Cozy Apartment LRT,230,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Comfort Suites KLCC SkyPool,0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nanas Dorsett 6pax Bukit Bintang Pavilion KL 23,302,9.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Arte Mont Kiara Free Parking, Kuala Lumpur",114,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EkoCheras EliteNest Signature Suite by Moka,403,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MOKA’s EkoCheras Suite: Designer Glow & Comfort,434,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Bell Suite 4pax Sepang Kota Warisan KLIA,205,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Maxhome@D'majestic KL City Centre Studio A12,0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Family Connecting Room 6PX @ Emporis Near Segi, KD & IKEA",324,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Peace home 03,133,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SANITIZED Premium Junior Suite | WiFi & Netflix,149,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,PKNS-Andaman Development Sdn Bhd,333,7.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Homey Duplex Studio @ The Place Cyberjaya,9221,4.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Muji Design Spacious Family 3R3B @ IOI Resort City,329,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Residence Kuala Lumpur At Times Square,0,5.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Peace home apex ,133,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vortex suites KLCC Bukit Bintang Kuala Lumpur,0,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sutera Homestay Vista Bangi with WIFI,0,9.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Sunway Velocity (2 bedrooms), shopping Mall, MRT",118,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"7 PAX, 1BR, 3mins to KLCC (3A05)",366,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,#2 Mid Valley 3min@7pax KL City Centre FR Parking,1913,6.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Qaireena Skylake Homestay - Puchong, Cyberjaya",108,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Subang City 8-9 pax l Walk Summit l 5-Min Sunway,125,6.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"CT View Homestay by Ifaizal, Presint 15 Putrajaya",0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Charming Condo | City View | Next To MRT station,199,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites KLCC by Comfort Suites Kuala Lumpur,230,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,near klcc vortex suites by PLUS POIN,0,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Exclusive Modern Homestay at Central Residence, Kuala Lumpur",318,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Suite Deluxe,134,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vortex Suites Klcc homes-365,0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LilyJo's Modern Treehouse Serendah,679,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Magic Black Design 4 Pax 5Min To DesaPark City,316,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW!French Design 3BR  InfinityPool M Vertica A23A,239,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Magic Black Design 4 Pax 5Min To DesaPark City,316,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW!French Design 3BR  InfinityPool M Vertica A23A,239,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SUNWAY SUITES @ SUNWAY PYRAMID 20106 FOR 2 PAX,257,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Lovely 8-PAX 3BR with pool at Sunway Velocity, VR3",0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"TRION KL, KLCC TRX IKEA at Chan Sow Lin, Kuala Lumpur",60,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Kl Super Service Barjaya times square ,866,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Summer Suites By PO,0,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Sunflower Jr Suite KLCC View,184,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW ! Pink Sweet Nordic Velocity MRT MVertica A13A,166,9.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Citizen Execetive Suite - Old Klang Road,379,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,ARTE Mont Kiara Staycation Away From Home_Jacuzzi,123,1.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vista Bangi/Kajang/UKM/MRT Soho AsHome 32,84,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sunset View Condo Cyberjaya,237,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Trigon@Setiawalk Puchong 6pax, 3R2B LRT/IOI/Puteri",0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Trendy Suite KL at Trion Two by HCK,137,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Lavile Infinity Pool Walk to Sunway Velocity and MRT,317,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,400m to KLCC Bukit Bintang Pavillion KLCC LRT walking distance,246,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nur homestay,139,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mini House Gombak 2BR 5pax Ayuman Suites,175,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Kasih Homestay, Vista Bangi Service Apartment",151,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Heavenly Studio Suites @Regalia Suites & Residence,92,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Signature Suites Mont Kiara by AM 2Rooms 6pax,227,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Signature Suites Mont Kiara by AM 2Rooms 4pax,181,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"The Azure Residences at Paradigm, Le Meridien PJ",0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Signature Suites Mont Kiara by AM 1Room 4pax,154,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cormar by Bella,283,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Core Soho Suite 10min to KLIA Airport,95,7.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,YOU 1272sqft 3 Bed-Room Unit with Netflix WiFi,275,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Cedar @ Icon City Petaling Jaya,82,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Shaftsbury Residences, Designed Studio Suites-Cyberjaya by Flexihome-MY",141,7.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Robertson 3 br in Kuala Lumpur Bukit Bintang,244,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Alder @ The Hub SS2,106,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL Staycation @ Arte Mont Kiara,303,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Stylish & Cozy | Sunway Pyramid |Beautiful Scenery,0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vortex KLCC Suites by SCHIEN,595,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Selayang 18 Residences (100mbps Wifi & Netflix),249,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Avani Seroja Hills,267,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"6BR Corner 3-storey House WIFI, Netflix, Aircond",753,2.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,STAR RESIDENCE KLCC,376,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Alanis Residence Master Bedroom,200,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Crown2Suite (City View)Near IKEA/1Utama/TTDI,65,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,[500MbpsNETFLIX] Luxury Suite 6+1 Pax M Vertica,399,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Infinity Pool The Robertson@1BR 3Pax KL Hot spot,184,6.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The World Service Apartment At Berjaya Times Square,0,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mycasa Homestay -Muslim Guest Only,272,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mayabay resident Homestay,129,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,A1406|CyberjayaSanitised-Netflix-Wifi-Parking-Pool,76,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Modern Style 3BR/7PX Near Desa Park & Mont Kiara,187,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL City View 2 Bedroom Condo B198 w free parking,152,9.1
