Pax,Check In,Check Out,Place,Web,Ratings,Name Hotel,Price(Rm)
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,AVANI Sepang Goldcoast Resort  ,488.615
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Mercure Kuala Lumpur Shaw Parade Hotel  ,293.655
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,AnCasa Hotel Kuala Lumpur  ,239.57
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,Holiday Inn Express Kuala Lumpur City Centre  ,257.81
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,Cititel Mid Valley  ,272.655
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"The Gardens - A St Giles Signature Hotel & Residences, Kuala Lumpur  ",487.42
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Pullman Kuala Lumpur City Centre - Hotel & Residences   ,526.42
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,InterContinental Kuala Lumpur  ,551.025
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Shangri-La Hotel Kuala Lumpur  ,703.22
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Four Seasons Hotel Kuala Lumpur  ,1879.055
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Meliá Kuala Lumpur  ,387.735
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Sunway Velocity Hotel Kuala Lumpur  ,432.0
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,"Hotel Indigo Kuala Lumpur On The Park, an IHG Hotel  ",500.41
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Sunway Lagoon Hotel  ,783.005
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Komune Living & Wellness  ,273.24
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Millennium Kuala Lumpur  ,590.14
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,"Berjaya Times Square Hotel, Kuala Lumpur  ",392.455
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8, Ramada Suites Kuala Lumpur City Centre  ,307.84
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Tamu Hotel & Suites Kuala Lumpur  ,471.08
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Ion Delemen Hotel  ,232.735
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Bluewave Hotel Shah Alam  ,306.375
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Dorsett Grand Subang  ,433.045
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Oakwood Hotel & Residence Kuala Lumpur  ,240.845
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,DoubleTree by Hilton Hotel Kuala Lumpur  ,415.645
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Seri Pacific Hotel Kuala Lumpur  ,506.185
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Sofitel Kuala Lumpur Damansara  ,654.73
