Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL Times Square Service Suites Kuala Lumpur,0,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,No.11 The John @ Puchong Skypod Residence,172,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Alanis 2-BR, Kota Warisan Sepang KLIA by Idealhub",74,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MyRehat Puteri ,0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,For 2 / Axon Bukit Bintang Pavillion KL by GoMain,124,7.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Lumi Tropicana PJ, Clubhouse Facilities, Stay 4",139,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Mayfair Hartamas Studio with Gym,Pool and Balcony",126,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cozy Suites B63 - 3 min walk to KLCC 2BR - Bathtub,332,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,BANGI Evo Luxury suite,381,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sky City @ Kuala Lumpur,463,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,2 Bedroom 9 Guest Scott Garden Mid-Valley Bangsar,108,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Splendid Suite 2 Bedroom @ Sunway & PJ,178,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SunwayGeo/Medical/Py'mid/Lagoon,181,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Kuala Lumpur | Rafflesia Sentul Suite [7Pax],0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,D'Rapport Residence KL by manatidur,334,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Spacious unit beside KL Gateway Mall, Kuala Lumpur",214,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nanas M101 3pax KL Tower LRT Monorail 53,109,6.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Designer 1 room @Quill Residence KL A10,102,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Comfy Zeva Studio Homestay with WIFI,132,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,homestay kundang,383,7.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Robertson Bukit Bintang by DeUrban,186,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KA71- Sanitised- Wi-fi- Netflix- Parking- Pool,80,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Premium Getaways,490,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vista del Mar Cyberjaya with WIFI & NETFLIX,0,7.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL Sentral Luxury Suite for 2/ Suitable Long Stay,59,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,THE MEWS KLCC@双子塔附近 双床房,228,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Infinity Pool KL View/ KL Sentral Suite Near KLCC ,59,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"MUJI Style - 2 Queenbeds, Walk 30sec to monorail!",378,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Liberty Arc Ampang by BeeStay Management,135,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Private Jacuzzi  Luxury Suite @ KL Downtown 178,177,9.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Jalil Pavilion Sunway Pyramid Lagoon IOI Puchong,107,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Reylin Alanis Suite // Free Wifi & Netflix // Airport Shuttle Service,178,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sweet Rosabell,166,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Bangsar Trade Center Studio 4pax I HomeBrickz,0,7.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Crown3Suite (City View)Near IKEA/1Utama/TTDI,65,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Glorious Studio Apartment @RegaliaSuites,92,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,PH Modern & Comfy 3 Bed Room At Arte Plus,156,7.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Hinode Geniehome 3BR free wifi Utropolis Shah Alam,248,9.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Platinum Suites by Homie SkyBay,264,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Empire Damansara by HomeUP Management,144,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Setapak Mh Platinum/ Gombak- Room only,53,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sunway Velocity VR2 Silver Hse｜KLCC｜2BR 6pax｜1Park,356,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,INS Modern 8pax @ Arte Cheras,139,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LUXURY APARTMENT WITH KLCC VIEW ,339,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Trion Kuala Lumpur KLCC Velocity Wi-Fi AsHome 06,234,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,RM218 Bukit Bintang Balcony Studio Infinity Pool,99,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Quill Residence Kuala Lumpur City One bedroom #P1,165,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Rumahku LRT, Ara Damansara, Subang Airport 我家轻快铁屋",238,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,De Platinum by Kuala Lumpur Luma,153,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,INS Modern 8pax @ Arte Cheras,139,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LUXURY APARTMENT WITH KLCC VIEW ,339,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Trion Kuala Lumpur KLCC Velocity Wi-Fi AsHome 06,234,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Kl Sentral Spacious Loft - link to Bangsar LRT,0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,RM218 Bukit Bintang Balcony Studio Infinity Pool,99,7.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Quill Residence Kuala Lumpur City One bedroom #P1,165,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Rumahku LRT, Ara Damansara, Subang Airport 我家轻快铁屋",238,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,De Platinum by Kuala Lumpur Luma,153,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MayTower Serviced Apartment,0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL Ramlee Service Suite Times Square,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"3 Bedrooms 2 Bathrooms Seruni Apartment, Unit 02",228,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EZ Empire Damansara Perdana Petaling Jaya,114,6.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EKOCHERAS 2 rooms 2 bathroom by Power ,279,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Netizen Soho MRT Cheras Wi-Fi TV Box NZ02,0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Private Suite in Bukit Bintang,180,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cozy 1-7 pax Sunway Pyramid 2Room Wifi TV Balcony,278,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Robertson 1King Bed High Floor Bukit Bintang,178,9.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Viia Residences @ KL Eco City #2BR,240,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,ayu homestay,102,6.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Muji Style Bell Suite @ Sepang KLIA Kota Warisan,80,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EkoCheras Duplex by Power ,219,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Setapak, wangsamaju to KLCC & PWTC 171",150,4.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,1 Dream Home @ Canopy Hills 2房1厕完美与齐全设备10分钟到达 UKM,107,6.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EST Suites at Bangsar KL Sentral,0,7.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sunway Velocity Deluxe Stay w. KLCC City View 6pax,330,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Emporis SOHO Kota Damansara by Airhost,159,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Cozy Apt near LRT Universiti, Kuala Lumpur (2BR)",144,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Teha Homestay 2,135,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sunway Velocity Family • Gathering 11pax 3BR 1Park,330,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,HB611-Sanitised-Cyberjaya-Netflix-Wifi-Parking,99,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KIP Core Studio near KLIA 100mbps WI-FI [2 Pax],58,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,PV21 Setapak/Wangsamaju 15min to KLCC - 2N,147,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LaLaport/Bukit Bintang/PnB118@BBCC-B2+Parking,150,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Cheras MRT Beauty Home 6pax Wi-Fi AC02,0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Designer 1 room @Quill Residence KL A12 NO WASHER,102,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Luxury 5STAR Executive Suite Mid Valley Sunway KL,138,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cyberjaya Guest House @ Kenwingston Square Garden,119,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Koi IOI Puchong Jalil Pavilion Bandar Sunway Laoon,107,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Romantic Suite + Private Jacuzzi @ KL downtown 176,162,9.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LuxStudio@Tiara Imperio,147,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Terminal VIP Lounge @ Near KLIA Sepang,167,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Airy 7 Guest Scott Garden / Old Klang Road / KL,108,9.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,【Astoria Ampang】2BR Signature Style Mountain View,187,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,RIZQI HOMESTAY PUTRAJAYA,178,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW! Minimalist Design 6PAX 3BR|Above Mall100 Mbps,149,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Suites KL Infinity Pool _ by MygeHomes,151,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Cosy studio at Setiawangsa, KL",133,10.
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Near Lotus Ekocheras Designer Suite by MOKA,215,0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SPICS LAKE COTTAGE RESORT,513,9.2
