Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,The St. Regis Kuala Lumpur,119,9.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Le Méridien Kuala Lumpur,535,9.4
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"Four Points By Sheraton Kuala Lumpur, City Centre",500,9.0
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Traders Hotel Kuala Lumpur,408,9.0
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Oasia Suites Kuala Lumpur,188,8.6
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,DoubleTree by Hilton Hotel Kuala Lumpur,318,8.8
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Aloft Kuala Lumpur Sentral,365,9.0
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Shangri-La Kuala Lumpur,553,9.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"The Majestic Hotel Kuala Lumpur, Autograph Collection",428,9.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,AGILE Residences by Luna,315,
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"Mandarin Oriental, Kuala Lumpur",818,9.4
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",222,8.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,The Westin Kuala Lumpur,585,8.6
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"Four Points by Sheraton Kuala Lumpur, Chinatown",330,9.4
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman North,136,8.0
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"InterContinental Kuala Lumpur, an IHG Hotel",475,9.0
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Hilton Kuala Lumpur,493,9.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Royal Suites at Platinum Kuala Lumpur Bukit Bintang KLCC,253,8.2
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,JW Marriott Kuala Lumpur,495,8.8
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,Ibis Kuala Lumpur City Centre Hotel,213,8.6
"2 travellers, 1 room",2024-10-27,2024-10-29,Kuala Lumpur,Expedia,"Four Points By Sheraton Kuala Lumpur, City Centre",500,9.0
