Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Greenfield Residence,  Sunway by The Comfort Zone",161.0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Greystone One Bukit Ceylon ,105.0,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Axon Bukit Bintang Pavillion KL KLCC by GoMain,159.0,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Penthouse KLCC,251.0,7.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Grand Sofo near Sunway by LilyandLoft,100.0,8.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Neu Suites By Moonlight,67.0,8.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Infini Suites@ Scarletz Suites KLCC,159.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"De Centrum By Jom La Homestay, Kajang Bangi",95.0,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Awesomestay at Arte Plus Ampang,113.0,6.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Plus KLCC by Cobnb,95.0,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Casa Mutiara Apartments by Moonlight,78.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,NO.8 Times Suites,234.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Axon Premier Suites Kuala Lumpur,164.0,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Cyberjaya | Cybersquare Studio with Eco Design!,73.0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Axon Suites Bukit Bintang ,185.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Highpark Suites at Petaling Jaya, Kelana Jaya by Plush",157.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Sky Suites KLCC Kuala Lumpur,315.0,6.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Horizon Suite Homestay, KLIA by S&T Homez",111.0,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,One Bukit Ceylon Lumi 5 Pavillion Bukit Bintang  ,110.0,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Comfy Homes Unit PacificTowers Wifi Parking Netflix Opp Jaya 1,85.0,7.1
